draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5
11/07/2023,03 11 33 42 52,20,2.0,3,11,33,42,52
11/03/2023,15 32 38 47 65,12,4.0,15,32,38,47,65
10/31/2023,14 35 37 55 70,15,3.0,14,35,37,55,70
10/27/2023,11 32 43 57 70,6,4.0,11,32,43,57,70
10/24/2023,16 20 30 54 59,7,3.0,16,20,30,54,59
10/20/2023,07 29 36 49 61,22,4.0,7,29,36,49,61
10/17/2023,05 06 29 32 61,20,4.0,5,6,29,32,61
10/13/2023,06 18 44 46 68,18,3.0,6,18,44,46,68
10/10/2023,03 08 17 46 63,7,4.0,3,8,17,46,63
10/06/2023,12 24 46 57 66,22,3.0,12,24,46,57,66
10/03/2023,03 19 32 39 59,24,3.0,3,19,32,39,59
09/29/2023,18 40 47 55 64,11,4.0,18,40,47,55,64
09/26/2023,15 30 35 42 60,16,4.0,15,30,35,42,60
09/22/2023,10 13 14 57 66,3,2.0,10,13,14,57,66
09/19/2023,06 09 13 29 66,24,2.0,6,9,13,29,66
09/15/2023,05 13 29 50 53,25,3.0,5,13,29,50,53
09/12/2023,02 14 21 42 67,18,5.0,2,14,21,42,67
09/08/2023,03 12 17 51 62,1,3.0,3,12,17,51,62
09/05/2023,03 43 50 51 65,13,2.0,3,43,50,51,65
09/01/2023,10 31 42 43 55,8,2.0,10,31,42,43,55
08/29/2023,09 39 52 61 63,25,3.0,9,39,52,61,63
08/25/2023,12 23 26 31 38,2,2.0,12,23,26,31,38
08/22/2023,01 12 26 36 50,7,2.0,1,12,26,36,50
08/18/2023,10 20 29 44 66,11,3.0,10,20,29,44,66
08/15/2023,18 39 42 57 63,7,3.0,18,39,42,57,63
08/11/2023,08 09 18 35 41,18,3.0,8,9,18,35,41
08/08/2023,13 19 20 32 33,14,2.0,13,19,20,32,33
08/04/2023,11 30 45 52 56,20,2.0,11,30,45,52,56
08/01/2023,08 24 30 45 61,12,4.0,8,24,30,45,61
07/28/2023,05 10 28 52 63,18,5.0,5,10,28,52,63
07/25/2023,03 05 06 44 61,25,4.0,3,5,6,44,61
07/21/2023,29 40 47 50 57,25,2.0,29,40,47,50,57
07/18/2023,19 22 31 37 54,18,4.0,19,22,31,37,54
07/14/2023,10 24 48 51 66,15,2.0,10,24,48,51,66
07/11/2023,10 17 33 51 64,5,2.0,10,17,33,51,64
07/07/2023,08 10 17 55 66,3,3.0,8,10,17,55,66
07/04/2023,21 33 54 61 67,12,3.0,21,33,54,61,67
06/30/2023,13 22 47 51 55,9,3.0,13,22,47,51,55
06/27/2023,08 34 35 41 52,12,4.0,8,34,35,41,52
06/23/2023,13 62 65 67 69,14,5.0,13,62,65,67,69
06/20/2023,06 37 39 45 46,21,4.0,6,37,39,45,46
06/16/2023,04 24 34 45 57,19,3.0,4,24,34,45,57
06/13/2023,08 10 19 44 47,4,4.0,8,10,19,44,47
06/09/2023,03 19 53 60 68,13,3.0,3,19,53,60,68
06/06/2023,06 12 23 29 57,4,2.0,6,12,23,29,57
06/02/2023,03 16 19 36 60,25,2.0,3,16,19,36,60
05/30/2023,13 16 40 64 68,21,2.0,13,16,40,64,68
05/26/2023,12 20 37 41 64,1,3.0,12,20,37,41,64
05/23/2023,03 10 22 65 66,19,2.0,3,10,22,65,66
05/19/2023,05 11 41 44 55,14,2.0,5,11,41,44,55
05/16/2023,15 34 36 69 70,17,3.0,15,34,36,69,70
05/12/2023,01 02 23 40 45,15,3.0,1,2,23,40,45
05/09/2023,04 37 46 48 51,19,3.0,4,37,46,48,51
05/05/2023,16 18 28 42 43,11,3.0,16,18,28,42,43
05/02/2023,03 15 16 32 41,9,2.0,3,15,16,32,41
04/28/2023,18 38 53 62 64,20,3.0,18,38,53,62,64
04/25/2023,08 29 46 47 48,12,2.0,8,29,46,47,48
04/21/2023,03 21 29 46 63,9,3.0,3,21,29,46,63
04/18/2023,07 09 15 19 25,4,2.0,7,9,15,19,25
04/14/2023,23 27 41 48 51,22,2.0,23,27,41,48,51
04/11/2023,31 35 53 54 55,24,3.0,31,35,53,54,55
04/07/2023,12 32 49 51 66,21,2.0,12,32,49,51,66
04/04/2023,01 37 45 62 64,4,3.0,1,37,45,62,64
03/31/2023,16 26 27 42 61,23,4.0,16,26,27,42,61
03/28/2023,02 03 18 32 68,24,4.0,2,3,18,32,68
03/24/2023,14 17 33 42 66,15,3.0,14,17,33,42,66
03/21/2023,01 21 25 27 40,11,2.0,1,21,25,27,40
03/17/2023,26 28 29 39 49,25,3.0,26,28,29,39,49
03/14/2023,01 07 23 38 55,2,3.0,1,7,23,38,55
03/10/2023,09 20 59 60 63,5,2.0,9,20,59,60,63
03/07/2023,15 22 25 28 69,21,4.0,15,22,25,28,69
03/03/2023,08 25 36 39 67,11,4.0,8,25,36,39,67
02/28/2023,14 16 40 52 59,13,2.0,14,16,40,52,59
02/24/2023,02 22 49 65 67,7,4.0,2,22,49,65,67
02/21/2023,02 15 30 36 63,24,2.0,2,15,30,36,63
02/17/2023,02 33 38 57 70,13,3.0,2,33,38,57,70
02/14/2023,23 24 35 40 43,1,3.0,23,24,35,40,43
02/10/2023,20 29 30 52 58,19,3.0,20,29,30,52,58
02/07/2023,09 15 46 55 57,4,2.0,9,15,46,55,57
02/03/2023,01 04 50 54 59,17,2.0,1,4,50,54,59
01/31/2023,07 09 18 29 39,13,4.0,7,9,18,29,39
01/27/2023,04 43 46 47 61,22,4.0,4,43,46,47,61
01/24/2023,33 41 47 50 62,20,4.0,33,41,47,50,62
01/20/2023,20 29 31 64 66,17,4.0,20,29,31,64,66
01/17/2023,02 12 18 24 39,18,3.0,2,12,18,24,39
01/13/2023,30 43 45 46 61,14,2.0,30,43,45,46,61
01/10/2023,07 13 14 15 18,9,3.0,7,13,14,15,18
01/06/2023,03 20 46 59 63,13,3.0,3,20,46,59,63
01/03/2023,25 29 33 41 44,18,4.0,25,29,33,41,44
12/30/2022,01 03 06 44 51,7,3.0,1,3,6,44,51
12/27/2022,09 13 36 59 61,11,2.0,9,13,36,59,61
12/23/2022,15 21 32 38 62,8,4.0,15,21,32,38,62
12/20/2022,03 04 33 36 52,17,4.0,3,4,33,36,52
12/16/2022,08 35 40 53 56,11,3.0,8,35,40,53,56
12/13/2022,14 22 48 58 68,6,2.0,14,22,48,58,68
12/09/2022,08 19 53 61 69,19,4.0,8,19,53,61,69
12/06/2022,15 16 19 28 47,13,3.0,15,16,19,28,47
12/02/2022,01 21 36 46 52,16,3.0,1,21,36,46,52
11/29/2022,20 23 37 46 52,6,4.0,20,23,37,46,52
11/25/2022,29 31 46 54 67,18,2.0,29,31,46,54,67
11/22/2022,13 23 24 25 43,2,3.0,13,23,24,25,43
11/18/2022,02 14 16 38 66,9,4.0,2,14,16,38,66
11/15/2022,06 19 28 46 61,18,2.0,6,19,28,46,61
11/11/2022,01 05 17 37 70,22,3.0,1,5,17,37,70
11/08/2022,05 13 29 38 59,23,4.0,5,13,29,38,59
11/04/2022,02 20 47 55 59,19,2.0,2,20,47,55,59
11/01/2022,05 09 15 16 17,25,3.0,5,9,15,16,17
10/28/2022,04 18 31 53 69,7,2.0,4,18,31,53,69
10/25/2022,21 30 35 45 66,21,3.0,21,30,35,45,66
10/21/2022,34 36 43 45 68,22,2.0,34,36,43,45,68
10/18/2022,01 15 20 44 67,23,3.0,1,15,20,44,67
10/14/2022,09 22 26 41 44,19,2.0,9,22,26,41,44
10/11/2022,03 07 11 13 38,1,3.0,3,7,11,13,38
10/07/2022,06 11 29 36 55,21,2.0,6,11,29,36,55
10/04/2022,15 18 25 33 38,25,2.0,15,18,25,33,38
09/30/2022,16 26 37 40 51,6,4.0,16,26,37,40,51
09/27/2022,08 14 24 43 51,9,3.0,8,14,24,43,51
09/23/2022,05 50 53 58 64,22,4.0,5,50,53,58,64
09/20/2022,09 21 28 30 52,10,5.0,9,21,28,30,52
09/16/2022,15 30 35 38 66,12,4.0,15,30,35,38,66
09/13/2022,14 25 38 59 64,21,4.0,14,25,38,59,64
09/09/2022,16 21 54 55 69,22,2.0,16,21,54,55,69
09/06/2022,06 17 46 59 68,2,4.0,6,17,46,59,68
09/02/2022,39 40 52 60 67,20,2.0,39,40,52,60,67
08/30/2022,02 38 55 57 65,17,3.0,2,38,55,57,65
08/26/2022,06 27 30 38 64,23,2.0,6,27,30,38,64
08/23/2022,03 05 47 48 67,7,2.0,3,5,47,48,67
08/19/2022,12 18 24 46 65,3,4.0,12,18,24,46,65
08/16/2022,33 35 41 45 51,1,2.0,33,35,41,45,51
08/12/2022,23 24 50 54 64,3,3.0,23,24,50,54,64
08/09/2022,01 08 10 25 32,13,3.0,1,8,10,25,32
08/05/2022,02 05 29 64 69,18,3.0,2,5,29,64,69
08/02/2022,10 14 25 37 63,14,3.0,10,14,25,37,63
07/29/2022,13 36 45 57 67,14,2.0,13,36,45,57,67
07/26/2022,07 29 60 63 66,15,3.0,7,29,60,63,66
07/22/2022,14 40 60 64 66,16,3.0,14,40,60,64,66
07/19/2022,02 31 32 37 70,25,3.0,2,31,32,37,70
07/15/2022,08 20 26 53 64,15,5.0,8,20,26,53,64
07/12/2022,04 07 10 45 64,12,2.0,4,7,10,45,64
07/08/2022,20 36 61 62 69,20,3.0,20,36,61,62,69
07/05/2022,27 31 50 51 61,21,4.0,27,31,50,51,61
07/01/2022,01 27 29 38 62,12,3.0,1,27,29,38,62
06/28/2022,07 12 21 43 55,11,2.0,7,12,21,43,55
06/24/2022,01 07 11 25 56,14,2.0,1,7,11,25,56
06/21/2022,08 13 18 32 42,20,3.0,8,13,18,32,42
06/17/2022,20 36 53 56 69,16,2.0,20,36,53,56,69
06/14/2022,30 37 38 42 58,22,2.0,30,37,38,42,58
06/10/2022,03 12 14 18 32,4,5.0,3,12,14,18,32
06/07/2022,04 34 40 41 53,3,4.0,4,34,40,41,53
06/03/2022,11 16 22 48 59,11,4.0,11,16,22,48,59
05/31/2022,06 15 41 63 64,24,4.0,6,15,41,63,64
05/27/2022,03 14 40 53 54,8,3.0,3,14,40,53,54
05/24/2022,03 05 06 63 68,25,3.0,3,5,6,63,68
05/20/2022,33 40 59 60 69,22,3.0,33,40,59,60,69
05/17/2022,07 21 24 41 65,24,4.0,7,21,24,41,65
05/13/2022,11 41 43 44 65,13,3.0,11,41,43,44,65
05/10/2022,15 19 20 61 70,6,3.0,15,19,20,61,70
05/06/2022,16 21 33 52 70,10,2.0,16,21,33,52,70
05/03/2022,15 19 27 35 57,17,2.0,15,19,27,35,57
04/29/2022,09 11 34 49 66,15,2.0,9,11,34,49,66
04/26/2022,05 07 19 46 69,2,4.0,5,7,19,46,69
04/22/2022,07 28 29 58 59,10,3.0,7,28,29,58,59
04/19/2022,02 09 33 47 53,24,3.0,2,9,33,47,53
04/15/2022,04 17 20 46 64,23,4.0,4,17,20,46,64
04/12/2022,02 08 14 20 31,17,2.0,2,8,14,20,31
04/08/2022,08 11 29 32 40,2,3.0,8,11,29,32,40
04/05/2022,22 43 60 63 64,18,2.0,22,43,60,63,64
04/01/2022,26 42 47 48 63,21,5.0,26,42,47,48,63
03/29/2022,07 22 36 45 47,12,2.0,7,22,36,45,47
03/25/2022,03 13 42 51 58,17,2.0,3,13,42,51,58
03/22/2022,08 15 21 27 61,8,3.0,8,15,21,27,61
03/18/2022,02 06 25 40 45,5,4.0,2,6,25,40,45
03/15/2022,09 14 28 59 60,24,5.0,9,14,28,59,60
03/11/2022,24 28 39 44 66,25,3.0,24,28,39,44,66
03/08/2022,07 18 38 58 64,24,3.0,7,18,38,58,64
03/04/2022,11 19 28 46 47,5,4.0,11,19,28,46,47
03/01/2022,18 22 38 39 50,18,2.0,18,22,38,39,50
02/25/2022,15 31 40 56 66,4,3.0,15,31,40,56,66
02/22/2022,06 17 22 57 62,3,3.0,6,17,22,57,62
02/18/2022,06 11 50 63 68,17,4.0,6,11,50,63,68
02/15/2022,02 04 15 21 63,19,3.0,2,4,15,21,63
02/11/2022,11 16 23 24 30,24,3.0,11,16,23,24,30
02/08/2022,01 17 20 52 54,2,3.0,1,17,20,52,54
02/04/2022,07 16 34 44 61,24,4.0,7,16,34,44,61
02/01/2022,11 24 38 62 66,1,4.0,11,24,38,62,66
01/28/2022,03 16 25 44 55,13,3.0,3,16,25,44,55
01/25/2022,03 12 38 53 58,13,3.0,3,12,38,53,58
01/21/2022,38 45 46 55 67,18,2.0,38,45,46,55,67
01/18/2022,04 19 39 42 52,9,4.0,4,19,39,42,52
01/14/2022,05 08 13 22 48,25,2.0,5,8,13,22,48
01/11/2022,02 03 19 52 58,16,2.0,2,3,19,52,58
01/07/2022,07 29 43 56 57,6,3.0,7,29,43,56,57
01/04/2022,04 06 16 21 22,1,3.0,4,6,16,21,22
12/31/2021,02 05 30 46 61,8,3.0,2,5,30,46,61
12/28/2021,03 05 08 31 38,4,3.0,3,5,8,31,38
12/24/2021,16 17 25 36 37,16,2.0,16,17,25,36,37
12/21/2021,25 31 58 64 67,24,3.0,25,31,58,64,67
12/17/2021,21 32 38 48 62,10,3.0,21,32,38,48,62
12/14/2021,33 35 44 55 69,20,3.0,33,35,44,55,69
12/10/2021,23 25 40 42 60,8,2.0,23,25,40,42,60
12/07/2021,01 07 40 43 68,1,2.0,1,7,40,43,68
12/03/2021,22 45 48 58 61,13,5.0,22,45,48,58,61
11/30/2021,07 08 26 30 39,17,2.0,7,8,26,30,39
11/26/2021,07 27 37 42 59,2,2.0,7,27,37,42,59
11/23/2021,07 24 54 57 58,6,3.0,7,24,54,57,58
11/19/2021,05 23 52 53 59,18,5.0,5,23,52,53,59
11/16/2021,06 22 44 53 65,3,3.0,6,22,44,53,65
11/12/2021,30 32 42 46 48,15,2.0,30,32,42,46,48
11/09/2021,09 14 16 26 49,14,3.0,9,14,16,26,49
11/05/2021,10 15 20 66 68,18,2.0,10,15,20,66,68
11/02/2021,05 10 26 58 65,9,2.0,5,10,26,58,65
10/29/2021,15 26 28 35 45,4,3.0,15,26,28,35,45
10/26/2021,06 14 19 56 62,9,4.0,6,14,19,56,62
10/22/2021,09 14 26 29 66,22,3.0,9,14,26,29,66
10/19/2021,03 12 13 19 52,1,3.0,3,12,13,19,52
10/15/2021,03 20 31 34 65,18,3.0,3,20,31,34,65
10/12/2021,21 26 56 61 65,4,3.0,21,26,56,61,65
10/08/2021,21 24 36 40 70,22,5.0,21,24,36,40,70
10/05/2021,07 11 18 30 36,4,3.0,7,11,18,30,36
10/01/2021,21 25 36 62 63,6,2.0,21,25,36,62,63
09/28/2021,18 30 43 68 69,22,4.0,18,30,43,68,69
09/24/2021,17 21 27 43 56,15,3.0,17,21,27,43,56
09/21/2021,36 41 45 51 56,13,3.0,36,41,45,51,56
09/17/2021,17 32 40 59 61,18,3.0,17,32,40,59,61
09/14/2021,04 13 19 63 64,16,2.0,4,13,19,63,64
09/10/2021,20 32 35 47 64,18,2.0,20,32,35,47,64
09/07/2021,15 17 25 32 53,12,3.0,15,17,25,32,53
09/03/2021,07 10 12 61 65,3,2.0,7,10,12,61,65
08/31/2021,08 14 31 58 68,15,3.0,8,14,31,58,68
08/27/2021,01 10 44 47 56,23,3.0,1,10,44,47,56
08/24/2021,17 18 26 52 67,19,2.0,17,18,26,52,67
08/20/2021,41 43 51 57 70,1,2.0,41,43,51,57,70
08/17/2021,03 06 16 38 56,24,3.0,3,6,16,38,56
08/13/2021,17 21 35 40 53,11,2.0,17,21,35,40,53
08/10/2021,29 45 50 59 62,12,2.0,29,45,50,59,62
08/06/2021,09 18 40 46 69,9,2.0,9,18,40,46,69
08/03/2021,01 09 17 27 34,24,2.0,1,9,17,27,34
07/30/2021,19 26 31 52 68,10,3.0,19,26,31,52,68
07/27/2021,02 35 36 54 64,11,3.0,2,35,36,54,64
07/23/2021,13 17 19 40 69,17,3.0,13,17,19,40,69
07/20/2021,10 26 30 52 57,10,2.0,10,26,30,52,57
07/16/2021,24 25 47 52 57,24,4.0,24,25,47,52,57
07/13/2021,03 10 17 26 55,24,2.0,3,10,17,26,55
07/09/2021,06 37 39 41 46,17,2.0,6,37,39,41,46
07/06/2021,18 47 63 68 69,14,3.0,18,47,63,68,69
07/02/2021,08 31 32 34 45,19,2.0,8,31,32,34,45
06/29/2021,07 38 50 52 69,21,3.0,7,38,50,52,69
06/25/2021,17 20 42 45 65,12,4.0,17,20,42,45,65
06/22/2021,01 26 48 51 59,25,4.0,1,26,48,51,59
06/18/2021,14 36 44 46 53,18,2.0,14,36,44,46,53
06/15/2021,18 22 27 38 52,11,4.0,18,22,27,38,52
06/11/2021,04 43 56 63 68,13,4.0,4,43,56,63,68
06/08/2021,09 22 39 41 54,19,3.0,9,22,39,41,54
06/04/2021,04 30 34 41 64,8,3.0,4,30,34,41,64
06/01/2021,07 11 33 58 63,23,2.0,7,11,33,58,63
05/28/2021,10 14 20 47 70,15,2.0,10,14,20,47,70
05/25/2021,14 21 31 34 54,11,3.0,14,21,31,34,54
05/21/2021,06 09 17 18 48,8,3.0,6,9,17,18,48
05/18/2021,03 05 56 61 66,4,2.0,3,5,56,61,66
05/14/2021,03 18 41 44 68,3,2.0,3,18,41,44,68
05/11/2021,07 08 20 36 39,22,3.0,7,8,20,36,39
05/07/2021,05 10 19 21 50,10,4.0,5,10,19,21,50
05/04/2021,04 27 32 57 63,22,3.0,4,27,32,57,63
04/30/2021,08 19 26 48 49,5,3.0,8,19,26,48,49
04/27/2021,15 22 30 41 42,25,4.0,15,22,30,41,42
04/23/2021,04 28 29 30 60,25,3.0,4,28,29,30,60
04/20/2021,06 23 43 49 52,5,3.0,6,23,43,49,52
04/16/2021,17 27 28 50 55,25,4.0,17,27,28,50,55
04/13/2021,10 15 19 45 68,9,4.0,10,15,19,45,68
04/09/2021,22 26 27 58 66,12,2.0,22,26,27,58,66
04/06/2021,01 19 20 32 42,17,3.0,1,19,20,32,42
04/02/2021,10 42 48 53 62,19,2.0,10,42,48,53,62
03/30/2021,11 37 47 53 56,15,3.0,11,37,47,53,56
03/26/2021,04 25 37 46 67,15,3.0,4,25,37,46,67
03/23/2021,12 23 35 38 55,11,2.0,12,23,35,38,55
03/19/2021,09 14 40 58 69,8,3.0,9,14,40,58,69
03/16/2021,10 41 46 52 69,8,2.0,10,41,46,52,69
03/12/2021,02 24 25 31 65,18,4.0,2,24,25,31,65
03/09/2021,04 33 46 58 65,13,2.0,4,33,46,58,65
03/05/2021,10 11 17 27 54,20,2.0,10,11,17,27,54
03/02/2021,04 08 13 34 64,18,2.0,4,8,13,34,64
02/26/2021,11 15 37 62 64,5,2.0,11,15,37,62,64
02/23/2021,05 07 09 20 57,15,3.0,5,7,9,20,57
02/19/2021,27 32 47 50 53,4,4.0,27,32,47,50,53
02/16/2021,01 36 44 54 66,10,3.0,1,36,44,54,66
02/12/2021,05 14 24 25 27,14,3.0,5,14,24,25,27
02/09/2021,07 18 21 31 40,9,4.0,7,18,21,31,40
02/05/2021,14 17 28 29 44,2,4.0,14,17,28,29,44
02/02/2021,13 37 38 40 67,10,2.0,13,37,38,40,67
01/29/2021,04 44 58 59 70,3,3.0,4,44,58,59,70
01/26/2021,29 49 56 66 67,24,3.0,29,49,56,66,67
01/22/2021,04 26 42 50 60,24,2.0,4,26,42,50,60
01/19/2021,10 19 26 28 50,16,2.0,10,19,26,28,50
01/15/2021,03 11 12 38 43,15,4.0,3,11,12,38,43
01/12/2021,12 14 26 28 33,9,2.0,12,14,26,28,33
01/08/2021,03 06 16 18 58,11,2.0,3,6,16,18,58
01/05/2021,20 43 51 55 57,4,2.0,20,43,51,55,57
01/01/2021,08 24 53 68 69,7,5.0,8,24,53,68,69
12/29/2020,01 31 35 48 62,19,3.0,1,31,35,48,62
12/25/2020,17 23 36 69 70,19,2.0,17,23,36,69,70
12/22/2020,29 53 56 59 67,21,2.0,29,53,56,59,67
12/18/2020,07 15 25 51 60,5,3.0,7,15,25,51,60
12/15/2020,01 10 18 20 46,15,2.0,1,10,18,20,46
12/11/2020,19 31 37 55 67,25,4.0,19,31,37,55,67
12/08/2020,15 19 33 39 68,25,3.0,15,19,33,39,68
12/04/2020,03 19 24 44 50,8,3.0,3,19,24,44,50
12/01/2020,07 33 53 61 65,14,2.0,7,33,53,61,65
11/27/2020,04 10 27 35 58,10,2.0,4,10,27,35,58
11/24/2020,09 15 34 61 64,6,2.0,9,15,34,61,64
11/20/2020,26 33 45 61 68,17,3.0,26,33,45,61,68
11/17/2020,08 13 35 46 68,16,3.0,8,13,35,46,68
11/13/2020,06 07 14 28 59,7,2.0,6,7,14,28,59
11/10/2020,23 45 53 58 62,13,5.0,23,45,53,58,62
11/06/2020,18 24 27 34 60,2,2.0,18,24,27,34,60
11/03/2020,07 31 44 45 55,19,3.0,7,31,44,45,55
10/30/2020,14 19 34 39 59,11,2.0,14,19,34,39,59
10/27/2020,06 13 34 46 62,1,3.0,6,13,34,46,62
10/23/2020,18 34 44 60 69,22,2.0,18,34,44,60,69
10/20/2020,46 54 57 58 66,10,3.0,46,54,57,58,66
10/16/2020,27 32 50 52 57,12,5.0,27,32,50,52,57
10/13/2020,11 44 45 46 70,25,2.0,11,44,45,46,70
10/09/2020,05 11 25 27 64,13,2.0,5,11,25,27,64
10/06/2020,15 16 18 39 59,17,3.0,15,16,18,39,59
10/02/2020,09 38 47 49 68,25,2.0,9,38,47,49,68
09/29/2020,14 39 43 44 67,19,3.0,14,39,43,44,67
09/25/2020,20 36 37 48 67,16,2.0,20,36,37,48,67
09/22/2020,36 43 44 55 68,12,4.0,36,43,44,55,68
09/18/2020,26 29 41 52 64,11,3.0,26,29,41,52,64
09/15/2020,25 28 38 59 62,22,4.0,25,28,38,59,62
09/11/2020,03 15 42 48 56,13,2.0,3,15,42,48,56
09/08/2020,07 10 15 31 57,21,2.0,7,10,15,31,57
09/04/2020,19 22 24 28 53,25,3.0,19,22,24,28,53
09/01/2020,15 25 26 38 47,22,4.0,15,25,26,38,47
08/28/2020,03 09 50 53 64,1,3.0,3,9,50,53,64
08/25/2020,08 10 15 17 57,12,3.0,8,10,15,17,57
08/21/2020,11 15 31 42 63,14,2.0,11,15,31,42,63
08/18/2020,04 18 26 27 58,23,4.0,4,18,26,27,58
08/14/2020,03 24 29 42 47,13,2.0,3,24,29,42,47
08/11/2020,08 22 29 43 56,9,4.0,8,22,29,43,56
08/07/2020,04 44 53 64 70,3,2.0,4,44,53,64,70
08/04/2020,02 22 30 42 62,20,3.0,2,22,30,42,62
07/31/2020,12 35 46 48 69,23,2.0,12,35,46,48,69
07/28/2020,17 20 27 31 34,19,4.0,17,20,27,31,34
07/24/2020,08 33 39 54 58,17,3.0,8,33,39,54,58
07/21/2020,14 25 26 41 43,15,3.0,14,25,26,41,43
07/17/2020,12 13 21 46 57,21,3.0,12,13,21,46,57
07/14/2020,06 26 55 56 64,22,4.0,6,26,55,56,64
07/10/2020,10 15 20 49 53,22,5.0,10,15,20,49,53
07/07/2020,16 20 25 30 43,18,3.0,16,20,25,30,43
07/03/2020,20 40 44 45 50,24,2.0,20,40,44,45,50
06/30/2020,09 16 29 37 53,11,2.0,9,16,29,37,53
06/26/2020,19 33 37 56 57,6,2.0,19,33,37,56,57
06/23/2020,06 20 37 40 48,15,3.0,6,20,37,40,48
06/19/2020,11 34 36 52 66,7,2.0,11,34,36,52,66
06/16/2020,21 23 33 35 42,6,3.0,21,23,33,35,42
06/12/2020,09 14 57 67 70,2,3.0,9,14,57,67,70
06/09/2020,01 05 09 10 23,22,2.0,1,5,9,10,23
06/05/2020,32 35 37 47 55,22,3.0,32,35,37,47,55
06/02/2020,09 20 23 26 29,8,3.0,9,20,23,26,29
05/29/2020,10 13 32 41 51,3,2.0,10,13,32,41,51
05/26/2020,34 52 58 59 62,4,3.0,34,52,58,59,62
05/22/2020,08 10 20 44 46,18,4.0,8,10,20,44,46
05/19/2020,08 19 25 36 66,9,2.0,8,19,25,36,66
05/15/2020,11 17 32 33 46,25,3.0,11,17,32,33,46
05/12/2020,07 16 27 44 52,5,5.0,7,16,27,44,52
05/08/2020,05 20 22 61 70,4,2.0,5,20,22,61,70
