draw_date,winning_numbers,mega_ball,multiplier,pick5_1,pick5_2,pick5_3,pick5_4,pick5_5
05/17/2024,08 17 40 60 70,3,2.0,8,17,40,60,70
05/14/2024,13 19 43 62 64,6,3.0,13,19,43,62,64
05/10/2024,13 22 26 32 65,18,4.0,13,22,26,32,65
05/07/2024,26 28 36 63 66,15,3.0,26,28,36,63,66
05/03/2024,06 13 15 53 56,11,2.0,6,13,15,53,56
04/30/2024,10 18 27 37 61,5,3.0,10,18,27,37,61
04/26/2024,15 23 53 57 61,9,3.0,15,23,53,57,61
04/23/2024,11 17 33 39 43,14,4.0,11,17,33,39,43
04/19/2024,19 30 34 46 58,3,3.0,19,30,34,46,58
04/16/2024,21 26 36 44 59,2,4.0,21,26,36,44,59
04/12/2024,01 12 14 18 66,16,2.0,1,12,14,18,66
04/09/2024,34 43 51 52 69,25,4.0,34,43,51,52,69
04/05/2024,20 30 54 63 65,14,3.0,20,30,54,63,65
04/02/2024,10 50 56 60 66,19,3.0,10,50,56,60,66
03/29/2024,11 30 33 38 60,16,4.0,11,30,33,38,60
03/26/2024,07 11 22 29 38,4,2.0,7,11,22,29,38
03/22/2024,03 08 31 35 44,16,3.0,3,8,31,35,44
03/19/2024,24 46 49 62 66,7,2.0,24,46,49,62,66
03/15/2024,13 25 50 51 66,6,5.0,13,25,50,51,66
03/12/2024,02 16 31 57 64,24,3.0,2,16,31,57,64
03/08/2024,19 20 22 47 58,1,3.0,19,20,22,47,58
03/05/2024,02 49 50 61 70,14,2.0,2,49,50,61,70
03/01/2024,15 33 37 55 61,24,4.0,15,33,37,55,61
02/27/2024,06 18 26 27 49,4,3.0,6,18,26,27,49
02/23/2024,04 06 40 41 60,11,5.0,4,6,40,41,60
02/20/2024,05 45 55 58 68,7,2.0,5,45,55,58,68
02/16/2024,19 23 39 42 67,18,4.0,19,23,39,42,67
02/13/2024,01 03 19 25 58,20,3.0,1,3,19,25,58
02/09/2024,17 22 29 46 69,1,3.0,17,22,29,46,69
02/06/2024,02 10 31 44 57,10,4.0,2,10,31,44,57
02/02/2024,11 22 42 64 69,18,3.0,11,22,42,64,69
01/30/2024,03 05 16 58 59,11,4.0,3,5,16,58,59
01/26/2024,14 31 34 50 61,13,3.0,14,31,34,50,61
01/23/2024,21 28 58 69 70,20,2.0,21,28,58,69,70
01/19/2024,01 09 16 17 30,17,2.0,1,9,16,17,30
01/16/2024,02 10 42 49 54,13,2.0,2,10,42,49,54
01/12/2024,19 34 35 45 67,7,3.0,19,34,35,45,67
01/09/2024,12 15 32 33 53,24,3.0,12,15,32,33,53
01/05/2024,05 23 26 38 44,25,3.0,5,23,26,38,44
01/02/2024,03 18 27 29 64,1,2.0,3,18,27,29,64
12/29/2023,11 27 30 62 70,10,3.0,11,27,30,62,70
12/26/2023,08 10 22 58 64,21,3.0,8,10,22,58,64
12/22/2023,10 26 36 54 69,4,4.0,10,26,36,54,69
12/19/2023,17 26 50 58 61,11,3.0,17,26,50,58,61
12/15/2023,10 20 28 40 54,12,2.0,10,20,28,40,54
12/12/2023,08 23 44 45 53,3,4.0,8,23,44,45,53
12/08/2023,21 26 53 66 70,13,3.0,21,26,53,66,70
12/05/2023,18 35 40 64 67,18,4.0,18,35,40,64,67
12/01/2023,12 47 49 52 65,12,4.0,12,47,49,52,65
11/28/2023,27 37 42 59 61,11,3.0,27,37,42,59,61
11/24/2023,06 15 45 59 68,1,4.0,6,15,45,59,68
11/21/2023,17 22 25 30 38,24,4.0,17,22,25,30,38
11/17/2023,06 12 31 33 69,17,3.0,6,12,31,33,69
11/14/2023,29 35 59 61 69,22,4.0,29,35,59,61,69
11/10/2023,13 33 59 68 70,8,3.0,13,33,59,68,70
